"distance","spectrumID","i"
44.9671224755512,"spec-5328-55982-0218.fits",905
45.2506369915974,"spec-5324-55947-0886.fits",825
47.6696999256783,"spec-1353-53083-0579.fits",516
48.5867131365543,"spec-2557-54178-0009.fits",274
49.1186675309559,"spec-1788-54468-0050.fits",1114
49.3283026036157,"spec-5301-55987-0190.fits",235
49.3298485389658,"spec-2118-53820-0538.fits",1278
49.40103197347,"spec-2188-54595-0112.fits",1096
49.7538909772127,"spec-7235-56603-0338.fits",213
50.6424758797524,"spec-2382-54169-0116.fits",296
50.6661019136255,"spec-7089-56661-0076.fits",62
50.822180967506,"spec-6064-56097-0818.fits",1321
51.0088093175773,"spec-7255-56597-0896.fits",525
52.3354205130594,"spec-2161-53878-0604.fits",1287
52.3775930464265,"spec-1054-52516-0291.fits",1491
53.0234444351273,"spec-5015-55707-0294.fits",215
53.1697074961027,"spec-6439-56358-0432.fits",70
54.3714021069533,"spec-3808-55513-0602.fits",44
54.9239288337066,"spec-0991-52707-0359.fits",1241
55.5407333858227,"spec-1105-52937-0368.fits",1467
55.69345775407,"spec-5454-56015-0641.fits",367
55.7327919712067,"spec-4176-55682-0865.fits",1962
56.0459604600966,"spec-6512-56567-0742.fits",2057
56.1811506854629,"spec-2359-53826-0199.fits",382
56.5889378031671,"spec-6466-56310-0992.fits",1962
56.7159696829354,"spec-1311-52765-0413.fits",68
56.7804627543283,"spec-1232-52731-0467.fits",215
56.8765233399692,"spec-2422-54096-0519.fits",1636
57.2834666215775,"spec-1672-53460-0251.fits",935
57.6017346268635,"spec-5331-55976-0504.fits",361
57.8956454196868,"spec-5451-56010-0798.fits",1566
57.9207676736413,"spec-2124-53770-0113.fits",165
58.0554073266979,"spec-6049-56091-0278.fits",362
58.2311385394664,"spec-0509-52374-0631.fits",1370
58.5826714396351,"spec-1959-53440-0382.fits",893
58.7815513850909,"spec-1997-53442-0041.fits",454
58.943142850144,"spec-1568-53169-0578.fits",951
59.3327418460995,"spec-4242-55476-0780.fits",396
59.3352143695158,"spec-1026-52558-0067.fits",214
59.3446551105462,"spec-1382-53115-0469.fits",1053
59.3770488888622,"spec-6620-56368-0501.fits",19
59.4314244824793,"spec-6053-56091-0724.fits",1535
59.5284253528359,"spec-0995-52731-0137.fits",0
59.559024272877,"spec-2620-54339-0453.fits",423
59.7236673759893,"spec-6125-56273-0414.fits",1860
59.815558856757,"spec-2356-53786-0499.fits",113
59.9649828914943,"spec-6406-56330-0456.fits",72
60.0741050977588,"spec-5027-56218-0605.fits",1771
60.1977088834478,"spec-0314-51641-0211.fits",886
60.2302456701321,"spec-0632-52071-0263.fits",528
60.2309973309151,"spec-5111-55840-0716.fits",1437
60.2352012215209,"spec-5336-55957-0105.fits",1803
60.275296645665,"spec-7301-56746-0454.fits",1948
60.3733510743886,"spec-1719-53876-0095.fits",70
60.4495936934222,"spec-3755-55504-0496.fits",1380
60.5851583638823,"spec-6754-56414-0896.fits",2042
60.5891059862901,"spec-6465-56279-0857.fits",1947
60.8115256373112,"spec-6447-56362-0485.fits",1813
60.863964701147,"spec-2261-53612-0404.fits",25
60.9875708065586,"spec-2913-54526-0229.fits",20
61.0677151392201,"spec-4801-55653-0130.fits",1815
61.1512649541198,"spec-7395-57131-0208.fits",1141
61.4571275683271,"spec-0924-52409-0636.fits",234
61.5928909578093,"spec-1757-53083-0437.fits",34
61.6618928801856,"spec-5972-56334-0558.fits",161
61.8575321012639,"spec-6145-56266-0755.fits",1898
61.8967580929894,"spec-4611-55603-0878.fits",48
61.903130485553,"spec-6461-56329-0925.fits",1873
61.9602256228105,"spec-6161-56238-0336.fits",1351
62.1168696246493,"spec-5793-56337-0530.fits",750
62.3064353867629,"spec-4494-55569-0447.fits",2159
62.4125485592011,"spec-7424-57160-0977.fits",2012
62.4268644358695,"spec-1081-52531-0173.fits",0
62.4315985377354,"spec-4058-55358-0634.fits",2050
62.4611090682729,"spec-1728-53228-0337.fits",949
62.4640624289224,"spec-1626-53472-0286.fits",1308
62.501204429637,"spec-0390-51900-0010.fits",41
62.65482074071,"spec-0750-52235-0328.fits",1285
62.6681280879268,"spec-6803-56402-0747.fits",2094
62.7020654048433,"spec-4870-55923-0229.fits",1781
62.7708177028426,"spec-1301-52976-0123.fits",854
62.812951863553,"spec-5047-55833-0214.fits",483
62.845336023989,"spec-4347-55830-0615.fits",2004
62.9935559835613,"spec-5397-55944-0285.fits",2108
63.1231251870159,"spec-4391-55866-0036.fits",2012
63.1719041193384,"spec-6008-56093-0606.fits",68
63.2464124354689,"spec-2634-54110-0244.fits",323
63.2784654085066,"spec-2179-53555-0564.fits",1130
63.3471473460282,"spec-4039-55648-0759.fits",2114
63.4782018401567,"spec-7257-56658-0239.fits",1026
63.4871540533144,"spec-1923-53319-0383.fits",856
63.5263910094104,"spec-5302-55896-0613.fits",621
63.8676758373088,"spec-4464-55866-0887.fits",2049
64.0941214123107,"spec-1437-53046-0166.fits",1457
64.373381720552,"spec-1397-53119-0412.fits",414
64.4229891177674,"spec-6656-56624-0929.fits",1907
64.5119079745342,"spec-7258-56605-0453.fits",0
64.8952722502594,"spec-1685-53463-0384.fits",320
64.9073430699318,"spec-1229-52723-0306.fits",0
65.1624751046778,"spec-0935-52643-0464.fits",393
